Name,Age,Major,GPA,Year,Club,Position
Linda Anderson,18,Chemistry,3.57,Freshman,IEEE Member,Part-time at ElectricWorks
Michael Doe,20,Biology,2.6,Junior,Debate Team,Tutor at MathCenter
Michael Moore,25,Economics,2.86,Junior,BioSociety,Member of BioSociety
Christopher Wilson,18,Electrical Engineering,2.96,Sophomore,Debate Team,Part-time at BuildCorp
Sarah Doe,19,Computer Science,3.58,Senior,BioSociety,Part-time at BuildCorp
Thomas Davis,21,Mechanical Engineering,3.5,Junior,Soccer Club,Member of BioSociety
Emily Doe,20,Electrical Engineering,3.49,Sophomore,Research Assistant,Member of ChemClub
David Johnson,25,Economics,2.55,Junior,Soccer Club,Research Assistant
Thomas Johnson,20,Computer Science,2.24,Sophomore,Research Assistant,Member of BioSociety
John Harris,20,Chemistry,3.27,Senior,Coding Club,Business Club President
Thomas Thomas,23,Mechanical Engineering,2.84,Sophomore,Math Club,Part-time at AutoWorks
Mary Clark,25,Computer Science,2.23,Sophomore,Green Club,Part-time at ElectricWorks
Mary Moore,18,Environmental Science,2.47,Sophomore,Coding Club,Member of BioSociety
John Wilson,23,Business Administration,2.78,Junior,Soccer Club,Part-time at ElectricWorks
David Harris,22,Chemistry,3.82,Junior,Green Club,Member of ChemClub
Barbara White,23,Chemistry,2.42,Junior,Research Assistant,Tutor at MathCenter
Robert Smith,20,Biology,3.39,Sophomore,Soccer Club,Part-time at ElectricWorks
Sarah Johnson,20,Civil Engineering,2.06,Senior,BioSociety,Member of ChemClub
Barbara Harris,22,Physics,3.57,Senior,Debate Team,Part-time at MarketPlace
Linda White,19,Economics,3.55,Sophomore,Robotics Team,Member of BioSociety
David Brown,22,Chemistry,3.65,Sophomore,Green Club,Part-time at BuildCorp
James Brown,19,Physics,2.02,Freshman,Research Assistant,Part-time at BuildCorp
James Jackson,22,Physics,3.4,Freshman,Coding Club,Tutor at MathCenter
David Brown,21,Civil Engineering,2.38,Senior,Green Club,Part-time at BuildCorp
David Harris,25,Chemistry,3.04,Junior,Robotics Team,Part-time at ElectricWorks
Michael Thomas,19,Civil Engineering,3.72,Sophomore,IEEE Member,Part-time at ElectricWorks
Jane White,21,Biology,2.3,Freshman,Research Assistant,Part-time at ElectricWorks
Jessica Doe,23,Mechanical Engineering,3.61,Junior,Green Club,Member of BioSociety
David Wilson,18,Biology,2.27,Freshman,Business Club,Tutor at MathCenter
Jane Davis,25,Electrical Engineering,3.45,Senior,Research Assistant,Member of BioSociety
Mary Martin,24,Mathematics,2.87,Junior,IEEE Member,Intern at ResearchLab
John Martin,19,Mechanical Engineering,2.96,Sophomore,Research Assistant,Part-time at BuildCorp
Sarah Moore,20,Economics,2.67,Senior,ChemClub,Intern at TechCorp
Barbara Davis,25,Business Administration,2.16,Sophomore,Coding Club,Member of BioSociety
Emily Smith,23,Biology,3.8,Senior,Math Club,Intern at StartUp
Barbara Doe,21,Environmental Science,2.36,Sophomore,Debate Team,Member of BioSociety
David Martin,24,Chemistry,3.97,Freshman,BioSociety,Tutor at MathCenter
James Thomas,21,Mathematics,3.86,Junior,Soccer Club,Part-time at ElectricWorks
David Doe,21,Biology,2.93,Sophomore,Coding Club,Intern at StartUp
Linda Clark,24,Physics,3.27,Junior,Business Club,Business Club President
John Martin,25,Environmental Science,2.11,Sophomore,Business Club,Part-time at BuildCorp
James Brown,22,Physics,3.23,Sophomore,ASCE Member,Part-time at ElectricWorks
Sarah Thomas,22,Business Administration,3.14,Senior,Business Club,Member of BioSociety
Emily Johnson,25,Computer Science,2.79,Freshman,BioSociety,Part-time at ElectricWorks
Emily Anderson,20,Economics,2.54,Freshman,ASCE Member,Tutor at MathCenter
Christopher Martin,20,Civil Engineering,3.47,Junior,Research Assistant,Business Club President
John Thomas,25,Electrical Engineering,3.2,Sophomore,IEEE Member,Member of BioSociety
Emily Martin,22,Mathematics,3.75,Senior,Business Club,Research Assistant
Patricia Johnson,24,Computer Science,2.22,Sophomore,BioSociety,Intern at TechCorp
Barbara Taylor,18,Economics,3.79,Junior,Green Club,Business Club President
Jessica Harris,25,Mechanical Engineering,3.42,Junior,BioSociety,Member of ChemClub
Sarah Davis,19,Biology,3.17,Senior,Robotics Team,Intern at TechCorp
Emily Moore,21,Computer Science,3.85,Freshman,ChemClub,Intern at TechCorp
Mary Taylor,22,Civil Engineering,2.98,Sophomore,BioSociety,Part-time at BuildCorp
James White,20,Economics,2.35,Freshman,Debate Team,Research Assistant
Sarah Brown,25,Electrical Engineering,3.02,Junior,Research Assistant,Part-time at MarketPlace
Jessica Clark,19,Mechanical Engineering,2.73,Freshman,IEEE Member,Intern at StartUp
John Taylor,19,Biology,2.12,Freshman,BioSociety,Tutor at MathCenter
Barbara Moore,23,Mathematics,2.59,Senior,Business Club,Part-time at BuildCorp
Emily Davis,19,Mechanical Engineering,3.57,Sophomore,Math Club,Part-time at MarketPlace
Michael Davis,22,Environmental Science,3.32,Senior,ChemClub,Tutor at MathCenter
Jane Martin,19,Electrical Engineering,2.59,Sophomore,Business Club,Part-time at AutoWorks
James Wilson,22,Mathematics,2.74,Junior,IEEE Member,Part-time at ElectricWorks
Barbara Brown,25,Physics,4.0,Junior,Debate Team,Intern at StartUp
Mary Brown,18,Chemistry,2.37,Sophomore,Business Club,Part-time at BuildCorp
Jessica Martin,19,Biology,2.23,Freshman,Coding Club,Intern at TechCorp
Patricia Doe,25,Mathematics,2.6,Senior,ChemClub,Intern at ResearchLab
Patricia White,19,Environmental Science,2.68,Sophomore,Green Club,Business Club President
Linda Moore,20,Business Administration,3.13,Sophomore,IEEE Member,Tutor at MathCenter
Linda Davis,18,Civil Engineering,3.32,Junior,Soccer Club,Member of BioSociety
Christopher Wilson,23,Mechanical Engineering,3.69,Junior,ChemClub,Intern at TechCorp
Michael Smith,25,Economics,2.24,Freshman,Math Club,Intern at TechCorp
Thomas Taylor,23,Physics,3.96,Sophomore,Coding Club,Tutor at MathCenter
Sarah Thomas,21,Mechanical Engineering,2.08,Sophomore,Business Club,Member of ChemClub
Barbara Moore,18,Civil Engineering,2.85,Junior,ASCE Member,Part-time at BuildCorp
Barbara Clark,18,Civil Engineering,3.57,Junior,Business Club,Member of ChemClub
Jane Jackson,22,Biology,3.01,Junior,IEEE Member,Part-time at MarketPlace
Linda Smith,19,Mechanical Engineering,2.02,Freshman,ASCE Member,Member of BioSociety
David Taylor,22,Environmental Science,3.51,Freshman,ASCE Member,Intern at TechCorp
Barbara Clark,21,Mechanical Engineering,3.4,Freshman,BioSociety,Part-time at ElectricWorks
Barbara Smith,25,Mathematics,3.75,Freshman,BioSociety,Business Club President
Jessica Johnson,24,Electrical Engineering,3.18,Sophomore,Math Club,Tutor at MathCenter
David White,25,Electrical Engineering,2.8,Junior,Business Club,Part-time at MarketPlace
Michael Thomas,21,Electrical Engineering,3.82,Junior,Research Assistant,Research Assistant
David Smith,21,Physics,2.78,Senior,Research Assistant,Member of ChemClub
Thomas Taylor,22,Physics,3.82,Freshman,Math Club,Tutor at MathCenter
Linda Davis,18,Mechanical Engineering,3.93,Junior,Research Assistant,Part-time at ElectricWorks
Mary Moore,24,Chemistry,3.53,Sophomore,BioSociety,Part-time at ElectricWorks
Linda Anderson,19,Environmental Science,2.74,Junior,Research Assistant,Intern at TechCorp
Patricia Jackson,23,Mathematics,2.98,Junior,ASCE Member,Part-time at MarketPlace
Jessica Johnson,19,Mathematics,2.76,Sophomore,Coding Club,Intern at ResearchLab
Robert Clark,22,Economics,3.04,Freshman,Green Club,Part-time at BuildCorp
Patricia Doe,24,Civil Engineering,3.17,Junior,IEEE Member,Part-time at BuildCorp
Jessica Martin,19,Environmental Science,3.65,Sophomore,Research Assistant,Part-time at MarketPlace
Sarah Thomas,25,Mathematics,3.61,Senior,Research Assistant,Part-time at MarketPlace
Emily White,24,Business Administration,2.36,Senior,Research Assistant,Tutor at MathCenter
Sarah Smith,25,Civil Engineering,2.83,Sophomore,Soccer Club,Intern at ResearchLab
Mary Martin,20,Economics,3.6,Junior,Research Assistant,Part-time at ElectricWorks
Emily Moore,22,Business Administration,3.71,Freshman,Math Club,Intern at StartUp
Patricia Taylor,20,Mathematics,3.91,Junior,Robotics Team,Business Club President
Barbara Martin,24,Civil Engineering,2.51,Junior,Debate Team,Intern at ResearchLab
Mary Thomas,23,Chemistry,3.08,Sophomore,Soccer Club,Intern at ResearchLab
Robert Clark,18,Electrical Engineering,3.01,Sophomore,IEEE Member,Research Assistant
Robert Brown,21,Business Administration,2.12,Junior,ChemClub,Part-time at BuildCorp
Jane Wilson,18,Physics,3.49,Junior,ChemClub,Part-time at BuildCorp
Jane Wilson,19,Physics,3.54,Freshman,Soccer Club,Intern at ResearchLab
Robert Clark,19,Mechanical Engineering,2.06,Senior,Debate Team,Member of ChemClub
Jessica Davis,23,Electrical Engineering,3.52,Junior,ChemClub,Business Club President
John Smith,22,Business Administration,2.42,Junior,BioSociety,Intern at TechCorp
Sarah Brown,24,Mechanical Engineering,2.73,Sophomore,ChemClub,Intern at TechCorp
Linda Harris,25,Mathematics,3.79,Junior,Business Club,Member of ChemClub
Barbara Anderson,20,Chemistry,2.09,Freshman,Business Club,Intern at ResearchLab
Christopher Thomas,23,Business Administration,3.98,Junior,BioSociety,Member of ChemClub
Thomas Johnson,18,Business Administration,2.69,Sophomore,Soccer Club,Part-time at ElectricWorks
Mary Harris,19,Chemistry,3.89,Junior,ChemClub,Part-time at AutoWorks
Patricia Taylor,24,Chemistry,3.54,Senior,Soccer Club,Tutor at MathCenter
Emily White,18,Economics,2.58,Sophomore,Soccer Club,Part-time at AutoWorks
Sarah White,19,Mechanical Engineering,3.15,Freshman,IEEE Member,Intern at TechCorp
Patricia Harris,19,Electrical Engineering,2.75,Junior,Math Club,Member of BioSociety
Linda Moore,22,Biology,2.2,Senior,Business Club,Part-time at AutoWorks
Michael Doe,22,Mechanical Engineering,3.16,Freshman,ASCE Member,Member of ChemClub
Emily White,19,Business Administration,2.16,Freshman,ASCE Member,Part-time at BuildCorp
Linda White,20,Economics,2.27,Junior,Soccer Club,Part-time at BuildCorp
Thomas Doe,21,Economics,2.74,Junior,Coding Club,Business Club President
Patricia White,18,Economics,3.83,Senior,BioSociety,Part-time at BuildCorp
James Anderson,21,Civil Engineering,2.47,Junior,Robotics Team,Intern at StartUp
Thomas Wilson,19,Computer Science,3.85,Junior,Coding Club,Part-time at MarketPlace
Thomas Harris,19,Economics,3.99,Sophomore,Business Club,Part-time at AutoWorks
Michael Clark,19,Physics,2.09,Senior,Soccer Club,Business Club President
Mary Clark,22,Computer Science,3.29,Junior,Soccer Club,Part-time at MarketPlace
Linda Smith,20,Electrical Engineering,2.1,Sophomore,IEEE Member,Business Club President
John White,25,Environmental Science,3.03,Senior,Coding Club,Member of ChemClub
Jessica Clark,21,Mathematics,3.0,Junior,Debate Team,Part-time at AutoWorks
Robert Clark,21,Computer Science,2.56,Junior,Business Club,Part-time at AutoWorks
Christopher Wilson,20,Environmental Science,3.9,Sophomore,Research Assistant,Part-time at AutoWorks
Michael Martin,23,Environmental Science,3.2,Freshman,ChemClub,Intern at TechCorp
James Harris,18,Business Administration,2.44,Senior,Green Club,Member of BioSociety
Michael White,25,Environmental Science,3.0,Freshman,Green Club,Member of BioSociety
Christopher Martin,25,Mechanical Engineering,2.59,Sophomore,ASCE Member,Intern at ResearchLab
Patricia Johnson,19,Business Administration,3.4,Junior,IEEE Member,Intern at StartUp
David Taylor,25,Mathematics,3.13,Senior,Math Club,Intern at ResearchLab
Mary Johnson,24,Civil Engineering,2.56,Junior,Soccer Club,Intern at ResearchLab
Michael Davis,21,Biology,2.01,Senior,Math Club,Intern at StartUp
Patricia Wilson,18,Physics,3.35,Senior,Coding Club,Business Club President
Linda Davis,24,Business Administration,3.2,Sophomore,Research Assistant,Intern at TechCorp
James Jackson,25,Biology,3.45,Sophomore,ASCE Member,Part-time at BuildCorp
James Smith,21,Environmental Science,2.53,Senior,Business Club,Intern at ResearchLab
Jane Martin,20,Chemistry,3.0,Senior,Coding Club,Part-time at MarketPlace
Christopher Brown,25,Economics,2.15,Sophomore,ASCE Member,Part-time at ElectricWorks
Christopher Clark,25,Biology,3.54,Junior,ChemClub,Intern at StartUp
Jessica Harris,20,Economics,2.31,Senior,Green Club,Part-time at ElectricWorks
Jane Anderson,18,Mathematics,3.17,Sophomore,ChemClub,Intern at TechCorp
Jane Taylor,20,Computer Science,2.34,Senior,Soccer Club,Part-time at AutoWorks
Emily Jackson,25,Computer Science,3.32,Junior,Green Club,Intern at ResearchLab
John Taylor,24,Mechanical Engineering,3.94,Junior,Soccer Club,Part-time at ElectricWorks
Emily Wilson,19,Mathematics,3.47,Sophomore,Debate Team,Part-time at ElectricWorks
Jessica Brown,19,Environmental Science,2.87,Junior,Coding Club,Part-time at MarketPlace
Jessica Davis,24,Environmental Science,2.62,Freshman,ASCE Member,Intern at ResearchLab
Thomas Davis,22,Economics,2.78,Freshman,Business Club,Part-time at ElectricWorks
Emily Harris,23,Chemistry,3.16,Freshman,BioSociety,Part-time at ElectricWorks
Jane Anderson,18,Electrical Engineering,3.05,Sophomore,Math Club,Part-time at BuildCorp
Emily Martin,20,Computer Science,3.35,Senior,BioSociety,Intern at ResearchLab
Jessica Anderson,20,Environmental Science,3.33,Freshman,Debate Team,Business Club President
David Johnson,18,Civil Engineering,3.32,Freshman,Math Club,Member of ChemClub
David Taylor,19,Economics,3.23,Sophomore,Debate Team,Intern at TechCorp
Linda Davis,22,Biology,2.54,Junior,Math Club,Part-time at ElectricWorks
Patricia Johnson,21,Business Administration,3.49,Junior,Debate Team,Part-time at BuildCorp
Christopher Jackson,20,Computer Science,2.16,Freshman,Robotics Team,Intern at TechCorp
John Moore,20,Computer Science,2.47,Junior,Math Club,Part-time at ElectricWorks
Jane Doe,24,Mechanical Engineering,2.02,Senior,BioSociety,Part-time at BuildCorp
Robert Anderson,19,Electrical Engineering,3.85,Junior,ChemClub,Intern at TechCorp
John Anderson,22,Chemistry,2.42,Freshman,Soccer Club,Member of ChemClub
David Martin,23,Mechanical Engineering,2.87,Freshman,ASCE Member,Member of ChemClub
Christopher Johnson,23,Electrical Engineering,3.13,Sophomore,Math Club,Member of ChemClub
Christopher Doe,23,Mechanical Engineering,3.3,Junior,Soccer Club,Research Assistant
Michael Anderson,24,Mathematics,3.94,Freshman,ChemClub,Business Club President
Thomas Taylor,21,Biology,3.77,Junior,Research Assistant,Research Assistant
Jessica Smith,24,Business Administration,2.92,Senior,Business Club,Member of BioSociety
Christopher Davis,19,Computer Science,2.57,Junior,Math Club,Intern at StartUp
Patricia Harris,21,Computer Science,3.45,Senior,Business Club,Intern at TechCorp
Jane Thomas,25,Civil Engineering,2.37,Sophomore,Soccer Club,Intern at TechCorp
James Wilson,21,Electrical Engineering,3.56,Freshman,Debate Team,Research Assistant
Patricia Jackson,20,Computer Science,2.7,Sophomore,Research Assistant,Business Club President
Thomas Harris,20,Civil Engineering,3.05,Senior,Soccer Club,Part-time at AutoWorks
Jane Johnson,22,Electrical Engineering,2.29,Sophomore,ASCE Member,Part-time at BuildCorp
John Wilson,20,Chemistry,3.9,Junior,Math Club,Part-time at AutoWorks
John Clark,18,Physics,3.25,Sophomore,Math Club,Intern at TechCorp
Linda Anderson,18,Business Administration,3.95,Sophomore,Robotics Team,Part-time at BuildCorp
Michael Harris,21,Mathematics,3.39,Senior,Soccer Club,Part-time at BuildCorp
Robert Harris,20,Mathematics,2.1,Freshman,BioSociety,Member of ChemClub
Barbara Smith,24,Mathematics,2.85,Senior,Research Assistant,Member of BioSociety
Sarah Anderson,21,Economics,2.35,Senior,Math Club,Part-time at ElectricWorks
James Anderson,25,Economics,2.57,Senior,ChemClub,Part-time at MarketPlace
James Martin,21,Mechanical Engineering,2.36,Freshman,Green Club,Member of ChemClub
David Davis,18,Mathematics,2.11,Freshman,IEEE Member,Intern at TechCorp
Christopher Smith,24,Environmental Science,3.53,Sophomore,Research Assistant,Member of ChemClub
Robert Wilson,22,Physics,2.88,Senior,Green Club,Member of BioSociety
Jane Davis,20,Mathematics,2.68,Junior,Robotics Team,Part-time at MarketPlace
Christopher Anderson,24,Environmental Science,3.34,Sophomore,ASCE Member,Part-time at BuildCorp
Jessica Brown,24,Environmental Science,3.94,Junior,Debate Team,Intern at StartUp
Mary Martin,24,Business Administration,3.34,Sophomore,Debate Team,Intern at ResearchLab
Linda Johnson,20,Civil Engineering,3.35,Sophomore,Research Assistant,Research Assistant
Christopher Doe,22,Computer Science,3.4,Freshman,Soccer Club,Intern at StartUp
Mary Brown,24,Chemistry,2.79,Sophomore,IEEE Member,Member of BioSociety
Robert Doe,22,Electrical Engineering,2.81,Freshman,Business Club,Intern at StartUp
David Johnson,18,Economics,3.23,Senior,Coding Club,Part-time at MarketPlace
Linda Taylor,25,Environmental Science,3.71,Junior,Coding Club,Business Club President
David Clark,19,Biology,3.46,Junior,Soccer Club,Part-time at AutoWorks
Thomas Jackson,22,Mechanical Engineering,3.91,Freshman,Business Club,Part-time at ElectricWorks
Emily Clark,18,Biology,3.93,Freshman,ChemClub,Research Assistant
Jessica Anderson,19,Chemistry,2.14,Sophomore,Debate Team,Business Club President
John Taylor,21,Business Administration,2.8,Freshman,Green Club,Part-time at MarketPlace
Patricia Smith,19,Electrical Engineering,3.89,Sophomore,Business Club,Member of ChemClub
Mary Clark,19,Economics,3.84,Sophomore,ChemClub,Part-time at BuildCorp
Robert Moore,25,Civil Engineering,3.55,Junior,IEEE Member,Part-time at ElectricWorks
Sarah Jackson,20,Physics,3.99,Freshman,Debate Team,Intern at ResearchLab
Barbara Smith,22,Computer Science,2.48,Senior,ChemClub,Intern at TechCorp
Patricia Johnson,21,Computer Science,3.71,Senior,Soccer Club,Part-time at MarketPlace
Patricia Johnson,18,Mathematics,2.89,Sophomore,Debate Team,Intern at TechCorp
Linda Doe,21,Business Administration,2.21,Senior,Debate Team,Part-time at BuildCorp
John Johnson,18,Civil Engineering,3.72,Freshman,Robotics Team,Member of ChemClub
David Thomas,24,Chemistry,3.73,Sophomore,Robotics Team,Member of BioSociety
Sarah Anderson,18,Civil Engineering,2.33,Junior,Robotics Team,Part-time at BuildCorp
Sarah Martin,24,Mathematics,2.08,Sophomore,Debate Team,Part-time at ElectricWorks
James Jackson,23,Chemistry,2.94,Freshman,Business Club,Part-time at ElectricWorks
Jessica Wilson,25,Mathematics,3.22,Sophomore,Green Club,Intern at TechCorp
Patricia Moore,21,Chemistry,2.61,Sophomore,IEEE Member,Tutor at MathCenter
James Moore,21,Mathematics,3.0,Senior,IEEE Member,Intern at TechCorp
Patricia White,25,Mechanical Engineering,3.77,Junior,Coding Club,Member of ChemClub
John Clark,21,Mathematics,3.31,Senior,Green Club,Intern at StartUp
Linda Davis,22,Electrical Engineering,3.14,Junior,Math Club,Intern at StartUp
Robert Thomas,22,Business Administration,3.6,Junior,Business Club,Intern at TechCorp
John Moore,21,Chemistry,3.23,Senior,Robotics Team,Intern at ResearchLab
James Thomas,19,Business Administration,2.52,Freshman,Debate Team,Business Club President
Jane Martin,22,Electrical Engineering,3.93,Senior,IEEE Member,Intern at TechCorp
Christopher Moore,24,Physics,2.08,Freshman,Math Club,Tutor at MathCenter
Robert Clark,19,Electrical Engineering,2.63,Senior,Robotics Team,Part-time at AutoWorks
Jessica Smith,25,Electrical Engineering,2.57,Freshman,Business Club,Member of BioSociety
Robert Harris,24,Civil Engineering,3.17,Senior,Debate Team,Intern at ResearchLab
Linda Taylor,25,Mathematics,2.03,Senior,Math Club,Intern at StartUp
Michael Smith,18,Business Administration,3.64,Freshman,Robotics Team,Business Club President
Jane Clark,25,Biology,2.56,Freshman,ASCE Member,Member of ChemClub
John Brown,24,Chemistry,3.73,Freshman,Soccer Club,Intern at TechCorp
Jane Moore,20,Business Administration,3.22,Sophomore,IEEE Member,Business Club President
Emily Davis,24,Mechanical Engineering,2.69,Freshman,Research Assistant,Part-time at ElectricWorks
Patricia Anderson,18,Mechanical Engineering,2.52,Senior,IEEE Member,Part-time at MarketPlace
Christopher Brown,22,Computer Science,3.09,Freshman,ASCE Member,Part-time at AutoWorks
Emily Davis,24,Computer Science,2.32,Junior,Soccer Club,Part-time at AutoWorks
Mary Thomas,20,Physics,2.85,Junior,Math Club,Research Assistant
Christopher Brown,22,Computer Science,3.57,Sophomore,Soccer Club,Part-time at BuildCorp
Emily Smith,18,Electrical Engineering,2.59,Freshman,Business Club,Intern at StartUp
Barbara Davis,22,Biology,3.25,Sophomore,Research Assistant,Part-time at AutoWorks
Barbara Wilson,25,Physics,3.74,Senior,IEEE Member,Intern at ResearchLab
Robert Clark,25,Economics,2.44,Freshman,ChemClub,Business Club President
Linda Taylor,22,Business Administration,3.61,Freshman,ASCE Member,Intern at StartUp
Linda Smith,24,Computer Science,3.53,Freshman,Coding Club,Member of BioSociety
Michael Johnson,24,Civil Engineering,2.21,Freshman,BioSociety,Intern at TechCorp
Mary Brown,19,Computer Science,3.91,Sophomore,Soccer Club,Intern at TechCorp
Michael Moore,25,Environmental Science,3.72,Junior,Research Assistant,Member of ChemClub
James Davis,25,Economics,2.09,Sophomore,Research Assistant,Intern at ResearchLab
Jane Moore,19,Computer Science,3.01,Sophomore,Business Club,Part-time at MarketPlace
Thomas Clark,21,Business Administration,3.31,Freshman,Green Club,Business Club President
Sarah Davis,25,Mathematics,3.03,Freshman,Robotics Team,Member of ChemClub
Emily Brown,18,Biology,3.01,Sophomore,Debate Team,Part-time at MarketPlace
Linda Wilson,19,Civil Engineering,3.81,Freshman,Green Club,Business Club President
Linda Anderson,21,Environmental Science,3.55,Junior,Debate Team,Business Club President
Michael Harris,25,Environmental Science,3.51,Senior,Green Club,Part-time at MarketPlace
Sarah Johnson,19,Computer Science,3.51,Sophomore,Research Assistant,Business Club President
Mary Smith,25,Chemistry,3.36,Freshman,Research Assistant,Intern at StartUp
Thomas Johnson,19,Physics,2.92,Sophomore,IEEE Member,Part-time at MarketPlace
Jane Wilson,24,Computer Science,2.75,Junior,Robotics Team,Research Assistant
David Anderson,19,Chemistry,3.99,Freshman,Business Club,Part-time at AutoWorks
Christopher Taylor,19,Physics,2.37,Sophomore,Math Club,Part-time at BuildCorp
Emily Martin,22,Physics,2.98,Junior,Research Assistant,Business Club President
Barbara Taylor,18,Chemistry,2.21,Sophomore,IEEE Member,Intern at ResearchLab
Jane Anderson,18,Chemistry,2.8,Sophomore,Math Club,Part-time at AutoWorks
Patricia Johnson,24,Mechanical Engineering,2.42,Freshman,Business Club,Part-time at BuildCorp
Jane White,23,Economics,2.66,Senior,Math Club,Tutor at MathCenter
Barbara Jackson,19,Mathematics,2.1,Junior,Coding Club,Intern at ResearchLab
Thomas Brown,20,Mechanical Engineering,2.04,Senior,Coding Club,Part-time at AutoWorks
Barbara Harris,24,Computer Science,2.25,Senior,Debate Team,Part-time at MarketPlace
Barbara Wilson,24,Biology,2.16,Sophomore,Soccer Club,Member of BioSociety
Mary Taylor,18,Mechanical Engineering,2.56,Freshman,Green Club,Tutor at MathCenter
Linda Taylor,18,Business Administration,3.32,Sophomore,ChemClub,Member of BioSociety
David Moore,25,Economics,3.16,Junior,Debate Team,Intern at TechCorp
Thomas Davis,23,Mathematics,3.9,Sophomore,Research Assistant,Part-time at ElectricWorks
Jessica Smith,18,Electrical Engineering,3.35,Freshman,Math Club,Part-time at AutoWorks
James Johnson,24,Physics,3.3,Junior,Robotics Team,Intern at StartUp
John Anderson,21,Physics,2.72,Freshman,Research Assistant,Part-time at MarketPlace
Jane Martin,20,Mathematics,3.07,Senior,Math Club,Intern at TechCorp
Christopher Smith,20,Mechanical Engineering,3.74,Senior,IEEE Member,Member of BioSociety
John Harris,25,Biology,3.9,Senior,IEEE Member,Member of ChemClub
Michael Wilson,24,Mathematics,3.95,Junior,Green Club,Part-time at ElectricWorks
Mary Anderson,20,Mechanical Engineering,3.97,Senior,BioSociety,Member of ChemClub
James Wilson,23,Mathematics,3.58,Senior,Research Assistant,Part-time at AutoWorks
Barbara Moore,24,Electrical Engineering,3.35,Senior,Robotics Team,Part-time at MarketPlace
Jane Harris,23,Biology,2.28,Sophomore,Robotics Team,Part-time at MarketPlace
Michael Harris,23,Business Administration,2.5,Senior,Math Club,Tutor at MathCenter
Jessica Martin,20,Economics,3.81,Junior,ASCE Member,Intern at ResearchLab
Sarah Doe,18,Environmental Science,2.9,Sophomore,ASCE Member,Business Club President
Robert Smith,19,Economics,3.57,Junior,Robotics Team,Member of BioSociety
Sarah Jackson,19,Electrical Engineering,2.8,Sophomore,Green Club,Tutor at MathCenter
Sarah Brown,22,Civil Engineering,2.6,Junior,Business Club,Part-time at MarketPlace
Barbara Smith,19,Computer Science,3.72,Junior,IEEE Member,Part-time at AutoWorks
Sarah Jackson,20,Civil Engineering,2.36,Freshman,Research Assistant,Member of BioSociety
Christopher Thomas,23,Civil Engineering,3.67,Freshman,Green Club,Business Club President
Mary Taylor,19,Electrical Engineering,3.51,Senior,Business Club,Intern at TechCorp
Mary Clark,22,Environmental Science,2.0,Freshman,Soccer Club,Part-time at MarketPlace
Robert Harris,25,Environmental Science,3.86,Freshman,Green Club,Research Assistant
Linda Taylor,23,Physics,3.33,Sophomore,Green Club,Business Club President
Robert Thomas,23,Mathematics,3.37,Senior,BioSociety,Intern at StartUp
Emily Davis,19,Civil Engineering,3.46,Senior,Robotics Team,Intern at ResearchLab
Jane Doe,21,Environmental Science,3.72,Sophomore,Math Club,Intern at ResearchLab
Christopher Smith,24,Computer Science,2.5,Freshman,Robotics Team,Business Club President
Michael Anderson,23,Computer Science,2.58,Sophomore,IEEE Member,Intern at StartUp
Michael Harris,21,Environmental Science,3.06,Junior,Debate Team,Tutor at MathCenter
Christopher Jackson,19,Computer Science,3.49,Senior,Debate Team,Intern at StartUp
Michael Anderson,20,Business Administration,3.97,Freshman,IEEE Member,Member of BioSociety
David Harris,20,Computer Science,2.0,Junior,Math Club,Part-time at AutoWorks
Patricia Clark,25,Electrical Engineering,2.48,Freshman,IEEE Member,Intern at StartUp
Jane Thomas,25,Electrical Engineering,3.94,Junior,Soccer Club,Member of ChemClub
Michael Clark,20,Environmental Science,3.34,Sophomore,IEEE Member,Member of BioSociety
Robert White,24,Economics,3.23,Freshman,Coding Club,Tutor at MathCenter
Patricia Moore,24,Chemistry,2.41,Freshman,Math Club,Tutor at MathCenter
Emily Jackson,25,Chemistry,3.25,Freshman,Business Club,Intern at ResearchLab
John Thomas,19,Environmental Science,3.2,Sophomore,Coding Club,Intern at ResearchLab
Sarah Davis,22,Mathematics,3.25,Freshman,Business Club,Tutor at MathCenter
Mary White,18,Electrical Engineering,2.71,Freshman,BioSociety,Intern at ResearchLab
Patricia Doe,19,Chemistry,2.21,Senior,Green Club,Research Assistant
Barbara Martin,23,Chemistry,3.12,Senior,Soccer Club,Research Assistant
Patricia Jackson,19,Physics,2.31,Sophomore,BioSociety,Intern at ResearchLab
Thomas Jackson,20,Mechanical Engineering,2.36,Senior,IEEE Member,Member of ChemClub
David Johnson,23,Electrical Engineering,3.71,Junior,Green Club,Business Club President
Christopher Moore,22,Biology,2.8,Senior,Soccer Club,Part-time at ElectricWorks
James Brown,22,Environmental Science,3.02,Junior,Math Club,Business Club President
Robert Doe,18,Mathematics,3.97,Junior,Coding Club,Business Club President
Linda Jackson,19,Electrical Engineering,3.06,Senior,Math Club,Research Assistant
Thomas Wilson,25,Environmental Science,2.66,Sophomore,Debate Team,Part-time at AutoWorks
Michael Doe,19,Mathematics,3.85,Senior,ASCE Member,Member of BioSociety
John Thomas,24,Business Administration,2.03,Senior,Debate Team,Member of ChemClub
Emily Taylor,23,Environmental Science,2.86,Junior,Math Club,Tutor at MathCenter
Mary Smith,21,Chemistry,2.44,Sophomore,Robotics Team,Part-time at MarketPlace
